epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,264,274,1.03787878788,0.615173083134
2,595,1101,1.85042016807,0.553104900008
3,224,2385,10.6473214286,0.835362691244
4,188,3086,16.414893617,1.37436268746
5,184,3618,19.6630434783,1.58720310306
6,144,4311,29.9375,1.963967039
7,116,5131,44.2327586207,2.38427871289
8,107,5633,52.6448598131,2.78370263886
9,103,7266,70.5436893204,3.08474442583
10,88,8215,93.3522727273,3.24543749277
11,87,9160,105.287356322,3.2882099491
12,83,12365,148.975903614,3.62096317276
13,80,12735,159.1875,3.62265189931
14,83,15146,182.481927711,3.55301258048
15,85,10660,125.411764706,3.50667951257
16,81,13791,170.259259259,3.66586916184
17,77,16384,212.779220779,4.03830499385
18,73,13353,182.917808219,4.16095392682
19,111,7718,69.5315315315,4.42594602775
20,79,14333,181.430379747,4.58087481914
21,96,13164,137.125,4.55701897383
22,72,17479,242.763888889,4.61779876636
23,74,14619,197.554054054,4.50028121661
